index,LOC,ZC,CITY,BOUROUGHS_STATE,LAT,LONG,num_calls
1,Club/Bar/Restaurant,10308,STATEN ISLAND,"STATEN ISLAND, NY",40.54409609,-74.14115469,0
2,Club/Bar/Restaurant,10012,NEW YORK,"MANHATTAN, NY",40.72979348,-73.99884181,18
3,Club/Bar/Restaurant,10308,STATEN ISLAND,"STATEN ISLAND, NY",40.54420877,-74.14103979,21
4,Club/Bar/Restaurant,10034,New York,"MANHATTAN, NY",40.86637626,-73.92825812,160
5,Club/Bar/Restaurant,11220,,"BROOKLYN, NY",40.63520686,-74.02028461,17
6,Club/Bar/Restaurant,10029,NEW YORK,"MANHATTAN, NY",40.79186116,-73.94539159,211
7,Club/Bar/Restaurant,10002,NEW YORK,"MANHATTAN, NY",40.71879472,-73.98901165,41
8,Club/Bar/Restaurant,10034,NY,"MANHATTAN, NY",40.86954934,-73.91634837,271
9,Club/Bar/Restaurant,11373,ELMHURST,"QUEENS, NY",40.73924884,-73.88445696,15
10,Club/Bar/Restaurant,10013,NEW YORK,"MANHATTAN, NY",40.72278878,-74.00459619,43
11,Club/Bar/Restaurant,10003,NEW YORK,"MANHATTAN, NY",40.72581057,-73.99199058,42
12,Club/Bar/Restaurant,11419,SOUTH RICHMOND HILL,"QUEENS, NY",40.68935074,-73.81613264,46
13,Club/Bar/Restaurant,10128,NEW YORK,"MANHATTAN, NY",40.77933383,-73.95066995,16
14,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72349367,-73.98825325,1175
15,Club/Bar/Restaurant,10464,BRONX,"BRONX, NY",40.83767128,-73.78290106,11
16,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72320273,-73.98827856,24
17,Club/Bar/Restaurant,10040,NEW YORK,"MANHATTAN, NY",40.86437703,-73.92653575,458
18,Club/Bar/Restaurant,11235,,"BROOKLYN, NY",40.58413031,-73.93277355,58
19,Club/Bar/Restaurant,11223,,"BROOKLYN, NY",40.59013616,-73.97389624,38
20,Club/Bar/Restaurant,11218,,"BROOKLYN, NY",40.64269519,-73.96977506,128
21,Club/Bar/Restaurant,11203,,"BROOKLYN, NY",40.6368429,-73.93075319,28
22,Club/Bar/Restaurant,11234,,"BROOKLYN, NY",40.58488412,-73.92664159,45
23,Club/Bar/Restaurant,10011,NEW YORK,"MANHATTAN, NY",40.74252091,-74.00051966,23
24,Club/Bar/Restaurant,11372,JACKSON HEIGHTS,"QUEENS, NY",40.74736716,-73.88655054,42
25,Club/Bar/Restaurant,10307,STATEN ISLAND,"STATEN ISLAND, NY",40.51478878,-74.24842226,72
26,Club/Bar/Restaurant,10305,STATEN ISLAND,"STATEN ISLAND, NY",40.59034214,-74.06662421,42
27,Club/Bar/Restaurant,11211,,"BROOKLYN, NY",40.7137782,-73.95746753,42
28,Club/Bar/Restaurant,10033,NEW YORK,"MANHATTAN, NY",40.84711145,-73.93818244,127
29,Club/Bar/Restaurant,10009,NEW YORK,"MANHATTAN, NY",40.72953107,-73.9804155,?
